transfer_id,player_name,first_name,last_name,date,old_team_id,new_team_id
15628,Georgi Petrov,Georgi,Petrov,2021,,t1858
15629,Marian Epple,Marian,Epple,2021,,t7350
15630,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15631,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15632,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15633,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15634,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15635,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15636,David Marques,David,Marques,2021,t6585,t2806
15637,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15638,Luka Basic,Luka,Basic,2021,,t1664
15639,Christian Fromm,Christian,Fromm,2021,,t1308
15640,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15641,Marian Epple,Marian,Epple,2021,,t7350
15642,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15643,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15644,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15645,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15646,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15647,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15648,Maurício Borges,Maurício,Borges,2021,,t1306
15649,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15650,Leo Andrić,Leo,Andrić,2021,t2000,
15651,Maurício Borges,Maurício,Borges,2021,,t1306
15652,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15653,Leo Andrić,Leo,Andrić,2021,t2000,
15654,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15655,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15656,Georgi Petrov,Georgi,Petrov,2021,,t1858
15657,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15658,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15659,Georgi Petrov,Georgi,Petrov,2021,,t1858
15660,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15661,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15662,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15663,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15664,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15665,David Marques,David,Marques,2021,t6585,t2806
15666,David Marques,David,Marques,2021,t6585,t2806
15667,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15668,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15669,Luka Basic,Luka,Basic,2021,,t1664
15670,Luka Basic,Luka,Basic,2021,,t1664
15671,Christian Fromm,Christian,Fromm,2021,,t1308
15672,Christian Fromm,Christian,Fromm,2021,,t1308
15673,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15674,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15675,Marian Epple,Marian,Epple,2021,,t7350
15676,Marian Epple,Marian,Epple,2021,,t7350
15677,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
