stadium_id,stadium_name,country_code,town,opening_year,capacity
a2805,ŠD Vižmarje Brod,SI,Ljubljana,,
a2806,Sportska hala Futog,RS,Novi Sad,1980.0,1000.0
a2807,SD Veliki park,RS,Užice,1975.0,2200.0
a2808,Kition Athletic Center,CY,Larnaca,1998.0,3000.0
a2809,Nicos Solomonides Arena,CY,Limassol,2005.0,2500.0
a281,Komazawa Gymnasium,JP,Setagaya City Tokyo,1958.0,3875.0
a2810,Apollon Arena,CY,Limassol,,2500.0
a2811,Anorthosis Sports Centre,CY,Nicosia,,
a2812,Sportska hala Čajetina,RS,Čajetina,2000.0,1000.0
a2813,Sportska hala Crnjevo,RS,Ivanjica,2017.0,430.0
a2814,Sportska hala Mladost,RS,Čačak,2005.0,1000.0
a2815,SD Slobodan Piva Ivković,RS,Beograd,1960.0,1000.0
a2816,SKPC Mejdan,BA,Tuzla,,
a2817,SD Bijeli Brijeg,BA,Mostar,,
a2818,SD Ramiz Salčin,BA,Sarajevo,,
a2819,SD Mirsad Hurić,BA,Goražde,,
a282,Tokyo Metropolitan Gymnasium,JP,Tokyo,1954.0,10000.0
a2820,SD Višegrad,BA,Višegrad,,
a2821,Gradačački Sajam,BA,Gradačac,,
a2822,KSC Igman,BA,Sarajevo-Ilidža,,
a2823,Polemidia Lyceum,CY,Limassol,,
a2824,Technical School,CY,Avgorou,,
a2825,Neapolis-Epistrofi,CY,Nicosia,,
a2826,Orissaare Sports Hall,EE,Orissaare,,
a2827,Tatár Mihály Sportcsarnok,HU,Sümeg,,
a2828,József Attila Általános Iskola,HU,Szeged,,
a2829,Tiszavirág Aréna,HU,Szolnok,,
a283,Yoyogi National Gymnasium,JP,Shibuya Tokyo,1964.0,13291.0
a2830,Sportcsarnok - Dág,HU,Dág,,
a2831,Desok Csarnok,HU,Debrecen,,
a2832,Dunaújvárosi Sportcsarnok,HU,Dunaújváros,,
a2833,Videoton Oktatási Központ,HU,Székesfehérvár,1984.0,
a2834,Miskolci Egyetemi Körcsanok,HU,Miskolc,,
a2835,AKG Arena,HU,Budapest,,
a2836,Nydalen Idrettshall,NO,Oslo,,
a2837,Suldalshallen,NO,Sand,,
a2838,Kringsjåhallen,NO,Oslo,,
a2839,Skjettenhallen,NO,Lillestrøm,,
a284,Toyama City Gymnasium,JP,Toyama City Toyama,1996.0,5000.0
a2840,Voldahallen,NO,Volda,,
a2841,Åsane Arena,NO,Bergen,2020.0,2000.0
a2842,Sotra Arena,NO,Straume,,
a2843,Volda Campus Arena,NO,Volda,,
a2844,NIH,NO,Oslo,,
a2845,Shahid Sadr,IR,Ramsar,,
a2846,SC Millennium,RS,Vršac,2001.0,4058.0
a2847,O S Đura Jakšic Kovin,RS,Kovin,1958.0,300.0
a2848,SC Đorđe Predin Badža,RS,Bečej,1988.0,2000.0
a2849,Palasport Villa D'Agri,IT,Marsicovetere,,
a285,Yokohama Arena,JP,Yokohama City Kanagawa,1989.0,17000.0
a2850,Palasport,IT,Lecce,,
a2851,Sportska hala Kosovska Mitrovica,RS,Kosovska Mitrovica,1989.0,1000.0
a2852,Lagator,RS,Loznica,1990.0,1800.0
a2853,SRC. Ljubomir Ivanović Gedža,RS,Mladenovac,1982.0,1617.0
a2854,Sportska Hala dr. Zoran Đinđić,RS,Prokuplje,1980.0,1200.0
a2855,Sportski centar Kursumlija,RS,Kuršumlija,2008.0,2000.0
a2856,SRC Šumadija,RS,Aranđelovac,1986.0,1500.0
a2858,O. S. Karađorđe,RS,Topola,1986.0,800.0
a2859,SC Indjija,RS,Inđija,1994.0,600.0
a286,Sajik Indoor Gymnasium,KR,Busan,1985.0,14099.0
a2860,Mobiliar Arena,CH,Gümligen,2018.0,2000.0
a2862,University of East London,GB,London,,
a2863,Sportski centar Zaječar,RS,Zaječar,1976.0,2360.0
a2864,Sportksa hala Tikvara,RS,Bačka palanka,,1200.0
a2865,Sportski centar Sport eko,RS,Beograd,2002.0,1700.0
a2866,Sporthal Wildersportcomplex,BE,Sint-Pieters-Leeuw,,
a2867,Fylkishöllin,IS,Reykjavík,,
a2868,High School of Livadia,CY,Larnaca,,300.0
a287,Yu Gwan-Sun Gymnasium,KR,Cheonan,2001.0,5482.0
a2870,Sports Hall of Pyla,CY,Larnaca,,
a2871,Hjallesehallen,DK,Odense,,
a2874,Békéscsaba Röplabda Akadémia Centerpálya,HU,Békéscsaba,2020.0,
a2875,Sporthall DYuSSh,UA,Stryi,,
a2876,Sporthall Balta,UA,Balta,,
a2877,Stelios Kalaitzis,GR,Nea Erithrea,1994.0,500.0
a2878,Sporto Rūmai,LT,Klaipėda,,360.0
a2879,Jurmalas State Gymnasium Sport Hall,LV,Jūrmala,2016.0,750.0
a288,Chungmu Gymnasium,KR,Daejeon,1971.0,4475.0
a2880,Suntory Training Center,JP,Minoh City Osaka,,
a2881,Toyoda Gosei Memorial Gymnsasium,JP,Inazawa City Aichi,2020.0,3500.0
a2883,Asahikawa City General Gymnasium,JP,Asahikawa City Hokkaido,1979.0,1494.0
a2884,Kasumigaura Cultural Gymnasium,JP,Tsuchiura City Ibaraki,,
a2885,Sunagawa City General Gymnasium,JP,Sunagawa City Hokkaido,,
a2886,Hayamizu Park Physical Education Center,JP,Miyakonojō City Miyazaki,,
