stadium_id,stadium_name,country_code,town,opening_year,capacity
a1,Hamdan Sports Complex,AE,Dubai,2010.0,15000.0
a10,Orfeo Superdomo,AR,Córdoba,2002.0,14000.0
a100,Centro de Entrenamiento Olimpico,CL,Santiago,,2000.0
a1001,Ginásio Poliesportivo Municipal João Augusto Teixeira Silva,BR,Cabo Frio - RJ,,
a1002,Niigata Higashi General Sports Center,JP,Niigata,,3120.0
a1003,Coliseo Miguel Grau,PE,Callao,1996.0,5000.0
a1004,Michel Slaiman,LB,Jbeil,,
a1005,Al Mina Sports Arena,LB,Tripoli,,
a1006,Murr,LB,Dora,,
a1007,Ghazir,LB,Ghazir,,
a1008,Hamat,LB,Hamat,,
a1009,Amchit,LB,Amchit,,
a101,Beijing Institute of Technology Gymnasium,CN,Beijing,2008.0,5000.0
a1010,Sarafand,LB,Sarafand,,
a1011,Central,LB,Jounieh,,
a1012,Lahoud,LB,Dekwene,,
a1014,Mustafa Dağıstanlı Spor Salonu,TR,Samsun,2013.0,1500.0
a1015,Konya Selçuklu Municipality Sports,TR,Ankara,,
a1016,Mihai Viteazul,RO,Bucharest,,1000.0
a1017,Lavras Tênis Clube,BR,Lavras,,
a1019,Fagrilundur,IS,Kópavogur,,500.0
a102,Capital Indoor Stadium,CN,Beijing,1968.0,17345.0
a1020,Turun Palloiluhalli,FI,Turku,,
a1021,Ginásio Colégio Mãe de Deus,BR,Londrina,,
a1022,Fukuoka Citizen's Gymnasium,JP,Fukuoka City Fukuoka,1972.0,3500.0
a1023,Zouaoui Salle,TN,El Haouaria,,
a1024,Ginásio Vicente Rijo,BR,Londrina,,
a1025,Pôle Ballons de la Province de Liège,BE,Waremme,2017.0,1000.0
a1026,Ostravar Aréna,,Ostrava,1986.0,12000.0
a1027,Ginásio Municipal Guaibê,BR,Guarujá,,
a1029,Burridge Gym,CA,Hamilton,,2250.0
a103,Sichuan Provincial Gymnasium,CN,Chengdu,,7000.0
a1030,Ginásio Paulo Skaf - Sesi Horto,BR,Bauru,2018.0,5000.0
a1031,Ginásio Delenice Fonseca Oliveira,BR,São Caetano do Sul,,2000.0
a1032,Ginásio Azul,BR,São Paulo,,4000.0
a1033,Mies-van-der-Rohe-Schule,DE,Aachen,,1268.0
a1034,Hauptverein Schweriner Sportclub e. V.,DE,Schwerin,,400.0
a1035,Polideportivo Nuestra Señora de Luján,AR,San Juan,,
a1036,Sibur Arena,,St Petersburg,2013.0,7120.0
a1037,PalaScoppa,IT,Soverato,1994.0,550.0
a1038,Goiânia Arena,BR,Goiânia,2002.0,15000.0
a104,Lingnan Pearl Gymnasium,CN,Foshan,2006.0,8464.0
a1041,Devaney Center,,Lincoln - Nebraska,,7907.0
a1042,Sky Hall Toyota,JP,Toyota City Aichi,2007.0,6500.0
a1043,Indoor Hall Kallitheas Rodou,GR,Rhodes,2014.0,1500.0
a1045,Nea Ionia Municipal Indoor Athletic Center,GR,Volos,,1964.0
a1046,PalaSele,IT,Eboli,,8000.0
a1047,UTN Universidad Tecnológica Nacional,AR,Santa Fe,,
a1048,Saimaa Stadiumi,FI,Mikkeli,,2200.0
a1049,Spordikeskus,EE,Rakvere,,
a105,Hong Kong Coliseum,HK,Kowloon,1983.0,12500.0
a1050,De Lichten,BE,Heist-op-den-berg,,
a1051,Sporthal Steuren Ambacht,BE,Lendelede,,
a1052,Gemeentelijke Sporthal Kapellen,BE,Kapellen,,
a1053,Complex Omnisports de Walhain,BE,Walhain,,
a1054,TD Place Arena,CA,Ottawa,1966.0,9500.0
a1055,Arena Aix,FR,Aix-en-Provence,,
a1057,Jiangmen Sports Hall,CN,Jiangmen,2017.0,
a1058,Korat Chatchai Hall,TH,Nakhon Ratchasima,2007.0,5000.0
a106,Luohe Sports Center,CN,Luohe - Henan,2002.0,4600.0
a1060,Hall Omnisport de Baulers,BE,Bauleurs,,
a1061,Sporthal Marke,BE,Marke,,
a1063,Sportcomplex Den Dijk,BE,Haacht,,
a1064,Sporthal Diepvenneke,BE,Vosselaar,,
a1065,Arena Ludwigsburg,DE,Ludwigsburg,2009.0,
a1066,Hisense Arena,AU,Melbourne,2000.0,10500.0
a1067,Stade Pierre-Mauroy,FR,Villeneuve-d Ascq,2012.0,50000.0
a1068,Sala Sporturilor DJST,RO,Targoviste,,2800.0
a1069,Pabellón Rircado Arias,DO,Santo Domingo,,4000.0
a107,Macau Forum,CN,Macau,,4000.0
a1070,Coliseo Julio Monsalvo,CO,Valledupar,,20000.0
a1071,Pala Nino Manera,IT,Mondovì,,
a1073,PalaRota,IT,Spoleto,,
a1074,PalaMalè,IT,Viterbo,1983.0,2200.0
a1075,Palasport Grottazzolina,IT,Grottazzolina,,
a1077,PalaPolsinelli,IT,Sora,2011.0,2000.0
a1078,Palazzetto dello Sport,IT,Montefiascone,,660.0
a1079,Palazzetto dello Sport,IT,Monterotondo,,
a108,Macau East Asian Games Dome,CN,Macau,2005.0,7000.0
a1082,Hanyang University Olympic Gymnasium,KR,Seoul,1986.0,8000.0
a1083,Olympic Gymnastics Arena,KR,Seoul,1986.0,15000.0
a1084,MCC Hall The Mall Korat,TH,Nakhon Ratchasima,2000.0,5000.0
a1085,CREPS de Toulouse,FR,Toulouse,,100.0
a1086,Arena Suzano,BR,Suzano,2018.0,4000.0
a1087,Edmonton Garrison Fitness Centre,CA,Edmonton,,
a1089,Hala sportowa przy Szkole Podstawowej nr 7 w Świdniku,PL,Świdnik,,500.0
a109,Jiangning Sports Center Gymnasium,CN,Nanjing - Jiangsu,2005.0,5345.0
a1090,Pabellón Moisés Ruiz,ES,Almería,2005.0,2000.0
a1091,Všesportovní hala České Budějovice,,České Budějovice,,2000.0
a1092,Sportovní hala Lužiny,,Praha,,400.0
a1093,Sport Hall Sareza,,Ostrava,,400.0
a1094,Salle Palmeira,FR,Nice,,1000.0
a1095,Gelora Bung Karno Sports Complex,ID,Jakarta,1962.0,
a1096,Bulungan Sport Hall,ID,Jakarta,,
a1097,Ludovika Aréna,HU,Budapest,,1326.0
a1098,Stadthalle,AT,Steyr,,
a1099,PalaCoccia,IT,Veroli,,3500.0
a11,Club Estudiantes Parana,AR,Entre Rios,,200.0
a110,Ningbo Beilun Gymnasium Hall,CN,Ningbo,,8000.0
a1100,PalaMaggiò,IT,Castel Morrone,,
a1101,PalaFenera,IT,Chieri,,
a1102,Centro Pavesi,IT,Milano,2012.0,1000.0
a1103,Arena Riga,LV,Riga,2006.0,10300.0
a1104,IBF Arena - Sportscenter Ikast,DK,Ikast,1968.0,2500.0
a1105,Idrottshuset,SE,Örebro,,
a1106,Palace of Sports Yunost,UA,Zaporizhya,,3200.0
a1107,Grande Nave do Forum,PT,Braga,,
a1108,Pabellon Javier Ortiz Imbroda,ES,Melilla,1995.0,3800.0
a1109,Kongstenhallen Gamle,NO,Gamle Fredrikstad,,
a111,Shenzhen Bay Gymnasium,CN,Shenzhen,2011.0,12793.0
a1110,Centro Sportivo San Filippo,IT,Brescia,1976.0,2400.0
a1111,Palazzetto dello Sport,IT,Roma,1957.0,3500.0
a1113,SC Master Zemun,RS,Beograd,,
a1114,USC Voždovac,RS,Beograd,,
a1115,HS Dudova Suma,RS,Subotica,,
a1116,Mitrovačka Gimnazija,RS,Sremska Mitrovica,,
a1117,Sportova Dvorana Miloš Grbić,RS,Klek,,
a1118,HS Lajkovac,RS,Lajkovac,,
a112,Wuhan Sports Center,CN,Wuhan,2007.0,13000.0
a1122,Platonov Academy,,St. Petersburg,,1500.0
a1123,Jecheon Gymnasium,KR,Jecheon,1995.0,3300.0
a1125,Sala Constantin Jude Olimpia Timisoara,RO,Timisoara,1968.0,2500.0
a1126,Mladost,BG,Montana,,
a1127,Kuressaare Sporthall,EE,Kuressaare,2004.0,1500.0
a1128,Pav. da Luz Nº 1,PT,Lisboa,2004.0,2400.0
a1129,Førdehuset,NO,Forde,,
a113,Coliseo de la Ciudad Deportiva,CU,La Habana,1957.0,15000.0
a1130,Volksbank-Arena,DE,Hildesheim,,2408.0
a1131,Chonburi Municipality Sport Stadium,TH,Chonburi,,4000.0
a1132,Assumption College Sriracha,TH,Chonburi,,4000.0
a1133,Khon Kaen Provincial Gymnasium,TH,Khon Kaen,,4000.0
a1134,Liptapanlop Hall,TH,Nakhon Ratchasima,,2000.0
a1135,Pais Eilabun Hall,IL,Eilabun,,
a1136,Lakes Hall,IL,Ashkelon,,
a1137,Ein Shemer,IL,Hadera,,
a1138,Hadar Afeka,IL,Tel Aviv,,
a1139,Hod Hasharon High School,IL,Hod Hasharon,,
a114,Sports Center Limassol,CY,Limassol,2005.0,6255.0
a1140,Naaman Sports Center,IL,Akko,,
a1141,Bayrampaşa Hidayet Türkoğlu Spor Kompleksi,TR,Istanbul,2012.0,1306.0
a1142,Ginásio da UniNassau,BR,Recife,,
a1143,Halle de Sainte-Croix,FR,Fréjus,,1050.0
a1144,PalaBarbuto,IT,Napoli,,2003.0
a1145,SH Strelište,RS,Pančevo,,
a1146,SC Ruma,RS,Ruma,,
a1147,HS UB,RS,Ub,,
a1148,Impuls Hall,RS,Novi Beograd,,300.0
a1149,OŠ Sava Kerković,RS,Ljig,,
a115,KV Arena,,Karlovy Vary,2009.0,6000.0
a1150,SC Student,RS,Valjevo,,
a1151,SH Jezero,RS,Kragujevac,,
a1152,SC Požarevac,RS,Požarevac,,
a1153,Vasil Levski sports hall,BG,Pazardzhik,,
a1154,VŠD Hoče,SI,Hoče,2013.0,800.0
a1155,Ulsz RIF,AT,Hallein,,1000.0
a1157,Hala widowiskowo-sportowa,PL,Niebylec,,
a1158,Complexe Pierre Favre,FR,Saint Jean d Illac,2006.0,1000.0
a1159,Salle Omnisports,FR,Le Plessis Robinson,,495.0
a116,Sports Hall,,Opava,,2898.0
a1160,Gymnase Julien Olive,FR,Martigues,,600.0
a1162,Halle Jacques Shaw - CREPS de Montpellier,FR,Montpellier,,80.0
a1163,Palais Omnisports de Champfleury,FR,Avignon,,1300.0
a1164,Gymnase Piencourt,FR,Mende,,500.0
a1165,Palais des Sports Pierre Ratte,FR,Saint Quentin,,3800.0
a1166,Hall Omnisports,LU,Diekrich,,
a1167,Nagyboldogasszony K.Á.I. Sports hall,HU,Jászberény,,
a1168,Angyalföldi Sportcentrum,HU,Budapest,2003.0,1000.0
a1169,Pihtipudas-sali,FI,Pihtipudas,,400.0
a117,O2 Arena,,Prague,2004.0,18000.0
a1170,Bezirkssporthalle,AT,Perg,,
a1171,Municipal Sports Hall Ivan Vazov,BG,Stara Zagora,,
a1172,BBC-Arena,CH,Schaffhausen,,
a1173,Palais des sports Jean-François-Krakowski,FR,Saint-Raphaël,2005.0,2000.0
a1174,Ali Yücel Spor Salonu,TR,Tokat,2010.0,
a1175,Sport Hall,PL,Elbląg,,
a1177,Ginásio Togo Renan Soares - Gávea,BR,Rio de Janeiro,,
a1178,Pavilhão Rainha Dona Leonor,PT,Caldas Da Rainha,,
a1179,Pohjantien Koulu,FI,Kuopio,,
a118,Sport Centrum Prostejov,,Prostejov,,2500.0
a1180,Shaoxing Olympic Sports Center,CN,Shaoxing,,
a1181,Porte de Lille,FR,Calais,,1499.0
a1182,Complexe Sportif Gaston Lessut,FR,Nîmes,,500.0
a1184,Vasil Simov,BG,Sofia,,1000.0
a1185,Georgios Gennimatas,GR,Voula,,230.0
a1186,Epitsentr Sports Complex,UA,Gorodok,,
a1187,Ginásio Universidade Positivo,BR,Curitiba,,
a1188,Ginásio Hamilton Linhares Cruz - Multieventos,BR,Balneário Camboriú,,
a1189,Ginásio Newton de Faria,BR,Anápolis,,6000.0
a119,Max Schmeling Halle,DE,Berlin,1996.0,11000.0
a1190,Kodama Cycle Shop Ozu Arena,JP,Oita,1979.0,2334.0
a1191,DAK Kyminon,GR,Kymina,,250.0
a1192,Tokushima City Gymnastics,JP,Tokushima City Tokushima,1978.0,4200.0
a1193,Pavilhão EBI do Topo,PT,Topo,2000.0,
a1194,Complexo Desportivo de Santa Maria,PT,Vila do Porto,,
a1195,Complexo Desportivo Rabo de Peixe,PT,Rabo de Peixe,,
a1196,Arena Gliwice,PL,Gliwice,2018.0,17178.0
a1197,Hala Zespołu Szkół Sportowych w Rzeszowie,PL,Rzeszów,,
a1199,Hala przy Liceum w Sędziszowie Małopolskim,PL,Sędziszów Małopolski,,
a12,Estadio Cincuentenario,AR,Formosa,2007.0,4500.0
a120,Bremen Arena,DE,Bremen,1964.0,14500.0
a1200,Hala Centrum Sportowego Politechniki Lubelskiej,PL,Lublin,,
a1201,Hala Widowiskowo-Sportowa przy ZS im. ks. J. Zwierza,PL,Ropczyce,,
a1202,Ginásio Perinão,BR,Gramado,,
a1203,Ocean Bank Convocation Center,,Miami,1983.0,5000.0
a1204,Pavilhão EBS Lajes do Pico,PT,Lajes do Pico,,
a1205,Pavilhão EBI Praia da Vitória,PT,Praia da Vitória,,
a1206,Microestadio UNTREF,AR,Buenos Aires,2017.0,1000.0
a1207,Microestadio River Plate,AR,Buenos Aires,,1000.0
a1208,Polideportivo Municipal,AR,Monteros,,2500.0
a1209,Roque Otrino,AR,Santa Fe,,1000.0
a121,Großsporthalle Hall,DE,Bühl,,1700.0
a1210,Club Parana,AR,Puerto General San Martin,,1500.0
a1211,Musashino Forest Sports Plaza,JP,Chofu City Tokyo,2017.0,10000.0
a1212,Klisto Gipedo Ilisiakou,GR,Athens,1983.0,1500.0
a1213,DAK Ilioupolis,GR,Ilioupolis,,1200.0
a1214,Raiffeisen Sportpark,AT,Graz,2007.0,9000.0
a1215,Gradska Sportska Dvorana,BA,Bijeljina,,
a1216,Tromsøhallen,NO,Tromso,,
a1217,Seyrantepe Spor Tesisleri Diyarbakir,TR,Diyarbakir,,
a1218,Aphroditi Sports Hall,CY,Paphos,1991.0,2000.0
a1219,Sportoase Philipssite,BE,Leuven,,
a122,Anhalt Arena,DE,Dessau,1940.0,3200.0
a1220,Ahmon Koulu,FI,Siilinjärvi,,
a1221,Hala I LO,PL,Sulęcin,1995.0,300.0
a1222,II ZSP Hall,PL,Tomaszów Mazowiecki,,300.0
a1223,IX LO Hall,PL,Częstochowa,,600.0
a1224,Gwardia Wrocław Hall,PL,Wrocław,,350.0
a1225,MCKiS Sport Hall,PL,Jaworzno,,200.0
a1226,OSiR Hall,PL,Kluczbork,,500.0
a1227,Antalya Spor Salonu,TR,Antalya,2016.0,10000.0
a1228,Mimar Sinan Spor Salonu,TR,Aydın,,1509.0
a1229,Sports complex Metar-Sport,,Chelyabinsk,,800.0
a123,Margon Arena,DE,Dresden,1998.0,3000.0
a1231,SK ZNU,UA,Zaporizhzhia,,
a1232,SK TNEU,UA,Ternopil,,
a1233,SK VNMU,UA,Vinnytsia,,
a1234,SK ZHNAEU,UA,Zhytomyr,,
a1235,MOSiR,PL,Sieradz,,
a1236,MOSiR,PL,Słupca,,
a1237,Mniszek Arena,PL,Grudziądz,,
a1238,MOSiR,PL,Tychy,,1500.0
a124,Arena Kreis Düren,DE,Düren,2004.0,2878.0
a1240,Sultan Qaboos Sports Complex,OM,Bawshar,,
a1241,Bercsényi úti Sportcentrum,HU,Jászberény,2014.0,1673.0
a1242,Emergohal,NL,Amsterdam,,
a1243,Oberstufenzentrum KÖNIZ,SZ,Köniz,,
a1244,Kamil Ocak Spor Hall,TR,Gaziantep,,2500.0
a1245,Scharrena Stuttgart,DE,Stuttgart,2011.0,2251.0
a1246,Septemvri,BG,Razlog,,
a1247,Gymnase Jacques Troin,FR,La Garde,,400.0
a1248,Okinawa City Gymnasium,JP,Okinawa,2010.0,2091.0
a1249,Matsue City General Gymnasium,JP,Matsue,2016.0,3003.0
a125,Fraport Arena Hall,DE,Frankfurt,1988.0,5022.0
a1250,DAK Pylaias,GR,Thessaloniki,,220.0
a1251,Folyondár Sportcentrum,HU,Budapest,,1000.0
a1252,Tungsram SC Sportcsarnok,HU,Budapest,,500.0
a1253,Haladás Sportkomplexum,HU,Szombathely,2017.0,458.0
a1254,Gymnase Joseph Pagnol,FR,Saint-Laurent-du-Var,,
a1255,Turgut Özal Sport Hall,TR,Antalya,,
a1256,Binnaz Karakaya Sport Hall,TR,Mugla,,
a1257,Alaşehir Sport Hall,TR,Manisa,,
a1258,Gaziemir Sport Hall,TR,İzmir,,
a1259,Söke Sport Hall,TR,Aydin,,
a126,ZF Arena,DE,Friedrichshafen,2003.0,4000.0
a1260,Ömer Tepesi Sport Hall,TR,Bartın,,
a1261,Kleisto Gymnastirio Thiras,GR,Santorini,2011.0,800.0
a1262,Kanal Sports Hall,SI,Kanal,,300.0
a1263,Complejo Deportivo Municipal Hospitalet Norte,ES,Barcelona,,1000.0
a1264,Wakayama Prefectural Gymnastics,JP,Wakayama,1964.0,3000.0
a1265,Gorki Grana,AR,Buenos Aires,2015.0,1200.0
a1266,Ginásio Champagnat,BR,Franca,,
a1267,Érd Aréna,HU,Érd,2013.0,2200.0
a1269,Bahnhofhalle Luzern,CH,Luzern,,
a127,OWL Arena,DE,Halle,1993.0,12300.0
a1270,Hristo Borisov,BG,Varna,,
a1272,B Lykeio Komotinis,GR,Komotini,2013.0,650.0
a1273,Pabellón Las Palmeras,ES,Badajoz,2010.0,1000.0
a1274,SD SŠC Pere Zečevića,BA,Odžak,2007.0,804.0
a1275,B-Con Plaza,JP,Beppu,1995.0,
a1276,Wink Gymnasium,JP,Himeji City Hyogo,,2862.0
a1278,Himi City Fureai Sports Center,JP,Himi City,1999.0,
a1279,Akademickie Centrum Sportu AJD,PL,Częstochowa,,
a1280,Łódź Sport Arena,PL,Łódź,2018.0,4000.0
a1281,Olimpiets,,Kazan,,750.0
a1282,habo,SE,habo,,
a1283,Korsørhallen,DK,Korsør,,
a1284,Nizwa Stadium,OM,Nizwa,,
a1285,Sundbyhal 2,DK,Copenhagen,,
a1286,JTEKT Arena Nara,JP,Kashihara,,4380.0
a1287,Nehru Indoor Stadium,IN,Chennai,,
a1288,Ginásio AABB - Rio de Janeiro,BR,Rio de Janeiro,,648.0
a1289,Lütfullah Aksungur Sport Hall in Çukurova Univercity,TR,Adana,1994.0,1750.0
a129,Paul Horn Arena,DE,Rottenburg,2004.0,3180.0
a1290,Yüreğir Serinevler Sport Hall,TR,Adana,2003.0,2500.0
a1291,Bergama Sport Hall,TR,İzmir,,
a1292,Nazilli Sport Hall,TR,Aydın,,
a1295,Dr. Eroğlu Sports Hall,TR,Afyon,,
a1296,Toroslar Sport Hall,TR,Mersin,,1000.0
a1297,Badmintonhøll,FO,Klaksvik,,
a1298,Ginásio da UFLA,BR,Lavras,,5000.0
a1299,Salle Régionale des Sports Maréchal,FR,Harnes,2015.0,2000.0
a13,Coloso de Parque Luro,AR,Mar del Plata,,2600.0
a130,Jahrhunderthalle,DE,Spergau,2000.0,2000.0
a1300,Credit Union 1 Arena,,Chicago - Illinois,1982.0,9500.0
a1301,Sports and Concert Complex,,St. Petersburg,1980.0,20000.0
a1302,Sud de France Arena,FR,Montpellier,2010.0,10700.0
a1303,Hall XXL,FR,Nantes,2013.0,10200.0
a1304,AccorHotels Arena,FR,Paris,1984.0,15600.0
a1306,Brentford Fountain Leisure Centre,GB,Brentford,,
a1307,Complexe des Lices,FR,Toulon,,
a1308,Atatürk Kapalı Spor Salonu,TR,Aksaray,,
a1309,Sollentuna sim och sporthall,SE,Sollentuna,,500.0
a131,Porsche Arena,DE,Stuttgart,2006.0,7200.0
a1310,Al Saada Stadium,OM,Salalah,,
a1311,Sporthalle Bahnhof,CH,Luzern,,1000.0
a1312,19 Mayıs Sport Hall,TR,Trabzon,,
a1313,Todoroki Arena,JP,Kawasaki City Kanagawa,1995.0,6500.0
a1314,Azadi Volleyball Hall,IR,Tehran,1971.0,3000.0
a1315,Jamsil Arena,KR,Seoul,1979.0,11069.0
a1316,Jamsil Students Gymnasium,KR,Seoul,1976.0,6229.0
a1317,Abdullah Al-Faisal Hall,EG,Cairo,,
a1318,Al Ahly Sports Hall,EG,Cairo,1991.0,2500.0
a132,Arena Trier,DE,Trier,2003.0,7500.0
a1321,Gloria Sport Arena,TR,Antalya,,
a1322,Aconcagua Arena,AR,Mendoza,,
a1323,Multiusos de Gondomar,PT,Gondomar,2007.0,8400.0
a1324,Rezazadeh Stadium,IR,Arbadil,2007.0,6000.0
a1325,Queensland State Netball Center,AU,Brisbane,2019.0,5000.0
a1326,Takeda Teva Ocean Arena,JP,Nagoya City Aichi,2008.0,2600.0
a1327,PalaAgnelli,IT,Bergamo,1965.0,2250.0
a1328,Palasport G. Bigi,IT,Reggio nell'Emilia,1968.0,3800.0
a1329,PalaParini,IT,Cantù,1956.0,1000.0
a133,Sportzentrum am Utzweg,DE,Unterhaching,,2000.0
a1330,Farie Hoti Sports Palace,AL,Tiranë,2013.0,1200.0
a1331,Helle Hallen,DK,Årre,,
a1332,Tomorr Sinani Sports Palace,AL,Elbasan,1982.0,2200.0
a1333,Tamara Nikolla Sports Palace,AL,Korçë,1975.0,2400.0
a1334,Qazim Dervishi Sports Palace,AL,Shkodër,1969.0,1200.0
a1336,Pal.Shk.Mesme,AL,Fushë Krujë,,
a1337,Ramazan Njala Sports Complex,AL,Durrës,,
a1338,VŠD Hoče,SI,Črnuče,,
a1339,ŠD Marof,SI,Novo Mesto,,
a134,Ceres Arena,DK,Aarhus,2001.0,4740.0
a1340,Pala Ubi Banca,IT,Cuneo,1992.0,4900.0
a1341,PalaCapurso,IT,Gioia del Colle,2002.0,2050.0
a1343,Ishøj Idrætscenter,DK,Ishøj,,300.0
a1344,PalaAlberti,IT,Lagonegro,,
a1345,Palazzetto Pozzoni,IT,Cisano Bergamasco,,650.0
a1346,Palasport Comunale,IT,Ortona,,1200.0
a1347,PalaHoney,IT,Roma,,
a1348,Palestra La Bastia,IT,Livorno,,
a1349,PalaPrata,IT,Prata di Pordenone,,
a135,Telia Parken,DK,Copenhagen,1992.0,38065.0
a1350,Palazzetto dello Sport,IT,Tricase,2008.0,800.0
a1351,Palasport Giancarlo Parenti,IT,Santa Croce sull'Arno,,2000.0
a1352,PalaIngrosso,IT,Taviano,,
a1354,Stórhøll á Hálsi,FO,Tórshavn,,
a1356,Høllin á Kambsdali,FO,Kambsdalur,,
a1357,Høllin í Sørvági,FO,Sørvágur,,
a136,Palacio del Voleibol Hall,DO,Santo Domingo,1974.0,5400.0
a1362,Mercedes-Benz Arena,DE,Berlin,2008.0,17000.0
a1363,TUI Arena,DE,Hannover,2000.0,14000.0
a1366,ŠD Tivoli,SI,Ljubljana,,
a1367,Palasport Maurizio Crisafulli,IT,Pordenone,,
a1368,PalaCoscioni,IT,Nocera,,
a1369,PalaTedeschi,IT,Benevento,,
a137,Audentes SH,EE,Tallinn,,1200.0
a1370,Palazzetto dello Sport,IT,Ariano,,
a1371,Zhangjiagang Sports Center,CN,Zhangjiagang,,
a1372,Tartu Ülikooli SH,EE,Tartu,,1000.0
a1373,Ma On Shan Sports Centre,HK,Ma On Shan,1999.0,
a1374,Wuqing Sport Center Gymnasium,CN,Tianjin,,
a1375,Kleisto Markos Foniadakis,GR,Ierapetra,1998.0,1100.0
a1376,Spring Center,,Kansas City - Missouri,2007.0,18900.0
a1377,Chongqing No. 8 Secondary School,CN,CHONGQING,,
a1378,PhilSports Arena,PH,Pasig,1985.0,10000.0
a1379,Kaposvár Aréna,HU,Kaposvár,2019.0,3040.0
a138,Stadium Complex Hall,EG,Cairo,1991.0,20000.0
a1380,Amberarena,,Kaliningrad,2009.0,6800.0
a1381,Frihedens Idrætscenter,DK,Hvidovre,,
a1382,Glaz Arena,FR,Cesson-Sévigné,2019.0,4500.0
a1383,Le Coliseum,FR,Amiens,1994.0,1500.0
a1384,Gymnase Pierre Bérégovoy,FR,Conflans-Sainte-Honorine,,
a1385,Salle Michel Bernard,FR,Halluin,,
a1386,Jean-Nicolas Muller,FR,Strasbourg,,
a1387,Arena Gripe,HR,Split,1979.0,1500.0
a1388,Monitoimitalo,FI,Jyväskylä,,1500.0
a1389,Kupittaan Urheiluhalli,FI,Turku,,1000.0
a139,Palacio de los Juegos Mediterráneos,ES,Almeria,2005.0,5000.0
a1390,Arena Sparta Podvinný Mlýn,,Praha,,
a1392,Sports Hall,SK,Levice,,
a1393,Papp László Budapest Sportaréna,HU,Budapest,2003.0,12500.0
a1395,Ota Ward Gymnasium,JP,Ota Ward Tokyo,2012.0,4012.0
a1396,Aalborg Stadionhal,DK,Aalborg,1963.0,700.0
a1397,Århus Gl. Stadionhal,DK,Århus,1920.0,
a1398,Stadionhal 1,DK,Brøndby,,
a1399,Bülowsvejs-Hallen,DK,Frederiksberg,,340.0
a14,Estadio Islas Malvinas,AR,Mar del Plata,1995.0,8000.0
a140,Palau dels Esports de Barcelona,ES,Barcelona,1955.0,8000.0
a1400,Asgård Skole Hal,DK,Køge,,
a1401,Bem József Általános Iskola,HU,Nyíregyháza,,
a1402,Aramis Sportcsarnok,HU,Budaörs,2017.0,250.0
a1404,Lillebæltshallen,DK,Middelfart,1972.0,
a1405,FOK Novator,UA,Khmelnytskiy,,
a1406,Mestská Športová Hala,SK,Humenné,,
a1407,Jablonec nad Nisou,,Jablonec nad Nisou,,
a1408,Multiversum Schwechat,AT,Schwechat,,
a1409,Ice Arena,FI,Tampere,,
a141,Palau Sant Jordi,ES,Barcelona,1990.0,13000.0
a1411,Pabellon Municipal Central Pitiu Rochel,ES,Alicante,,
a1412,Sportovní hala UP,,Olomouc,,
a1414,Zoppas Arena,IT,Conegliano,,
a1416,SZ DUSSH,UA,Lubny,,
a1417,SZ CHNPU,UA,Chernihiv,,
a1418,SK VDPU,UA,Vinnytsia,,
a142,CEM Olimpics,ES,Barcelona,1991.0,4608.0
a1420,SZ SumDU,UA,Sumy,,
a1422,Gymnase municipal,FR,Terville,1993.0,600.0
a1423,Gymnase Paul Cavalloni,FR,Istres,2018.0,700.0
a1424,Auditorio del Pueblo,MX,Durango,1960.0,3500.0
a1425,CU Arena,DE,Hamburg,2011.0,1800.0
a1426,Pinnacle Bank Arena,,Lincoln,2013.0,15290.0
a1427,Goyang Gymnasium,KR,Goyang,2011.0,6216.0
a1428,Sivas Taha Akgül Sports Hall,TR,Sivas,,
a1429,Paleis 12,BE,Brussels,2013.0,15000.0
a1430,Malatya Merkez Sport Hall,TR,Malatya,,
a1431,Het Activum,NL,Hoogeveen,,
a1432,SD Lukavac,BA,Lukavac,,
a1433,Sala Polivalenta,RO,Alexandria,,
a1434,Arena Portimao,PT,Portimao,,
a1435,ŠD Mislinja,SI,Mislinja,,
a1436,Pav.Mun.Paços de Ferreira,PT,Paços de Ferreira,,
a1437,SRC Kale,MK,Skopje,,
a1438,Pabellón Polideportivo Parque Albacete,ES,Albacete,,
a1439,Szent István Egyetem Sportcsarnok,HU,Gödöllő,,500.0
a1440,MTK Röplabda Csarnok,HU,Budapest,,
a1441,Generali Aréna,HU,Miskolc,1970.0,1488.0
a1442,Magyar Testnevelési Egyetem,HU,Budapest,,
a1443,Károly Róbert Szakközépiskola,HU,Budapest,,
a1444,MTK Röplabda Csarnok,HU,Budapest,,
a1445,Dobrinja Hall,BA,Dobrinja,,
a1446,Marienlyst Centret,DK,Odense,,
a1447,Hyldgårdsskolens Hal B,DK,Ikast,,
a1448,Brøndby Hallen,DK,Brøndbyvester,1973.0,4500.0
a1449,Frederiksberg-Hallerne,DK,Frederiksberg,2000.0,1767.0
a145,Palma Arena,ES,Palma de Mallorca,2007.0,4500.0
a1450,Saga Sunrise Park Gymnasium,JP,Saga City Saga,1986.0,2118.0
a1451,Sporthal PIBO TONGEREN,BE,Tongeren,,
a1453,Ginásio do Mackenzie,BR,Belo Horizonte,,1200.0
a1454,Auditorio Multifuncional de Colima,MX,Colima,,
a1455,SAIT Campus Centre Gymnasium,CA,Calgary AB,,1300.0
a1456,MRU Cougars - Kenyon Court,CA,Calgary AB,2002.0,1940.0
